Starting Experiment
Experiment Path: experiments\exp_006_unet3d_v1
Epoch 000 | LR: 1.00e-04 | Loss: 1.4834 | Dice: 0.9294 | CE: 0.5517 | Focal: 0.0046
Epoch 001 | LR: 1.00e-04 | Loss: 1.1161 | Dice: 0.8631 | CE: 0.2518 | Focal: 0.0025
Epoch 002 | LR: 1.00e-04 | Loss: 0.9660 | Dice: 0.7908 | CE: 0.1740 | Focal: 0.0023
Epoch 003 | LR: 9.99e-05 | Loss: 0.8767 | Dice: 0.7308 | CE: 0.1448 | Focal: 0.0022
Epoch 004 | LR: 9.98e-05 | Loss: 0.8182 | Dice: 0.6858 | CE: 0.1313 | Focal: 0.0022
Epoch 005 | LR: 9.97e-05 | Loss: 0.7827 | Dice: 0.6588 | CE: 0.1228 | Focal: 0.0021
Epoch 006 | LR: 9.96e-05 | Loss: 0.7504 | Dice: 0.6349 | CE: 0.1145 | Focal: 0.0020
Epoch 007 | LR: 9.95e-05 | Loss: 0.7236 | Dice: 0.6078 | CE: 0.1148 | Focal: 0.0021
Epoch 008 | LR: 9.93e-05 | Loss: 0.7063 | Dice: 0.5971 | CE: 0.1081 | Focal: 0.0020
Epoch 009 | LR: 9.91e-05 | Loss: 0.6917 | Dice: 0.5873 | CE: 0.1035 | Focal: 0.0019
Epoch 010 | LR: 9.89e-05 | Loss: 0.6903 | Dice: 0.5852 | CE: 0.1042 | Focal: 0.0019
Epoch 011 | LR: 9.87e-05 | Loss: 0.6784 | Dice: 0.5760 | CE: 0.1014 | Focal: 0.0019
Epoch 012 | LR: 9.84e-05 | Loss: 0.6782 | Dice: 0.5764 | CE: 0.1008 | Focal: 0.0019
Epoch 013 | LR: 9.82e-05 | Loss: 0.6582 | Dice: 0.5598 | CE: 0.0975 | Focal: 0.0018
Epoch 014 | LR: 9.79e-05 | Loss: 0.6562 | Dice: 0.5599 | CE: 0.0955 | Focal: 0.0018
Epoch 015 | LR: 9.76e-05 | Loss: 0.6529 | Dice: 0.5602 | CE: 0.0918 | Focal: 0.0017
Epoch 016 | LR: 9.72e-05 | Loss: 0.6401 | Dice: 0.5459 | CE: 0.0933 | Focal: 0.0018
Epoch 017 | LR: 9.69e-05 | Loss: 0.6451 | Dice: 0.5550 | CE: 0.0893 | Focal: 0.0017
Epoch 018 | LR: 9.65e-05 | Loss: 0.6303 | Dice: 0.5409 | CE: 0.0886 | Focal: 0.0017
