Starting Experiment
Experiment Path: experiments\exp_007_attention_unet_v1
Epoch 000 | LR: 1.00e-04 | Loss: 1.4551 | Dice: 0.9222 | CE: 0.5308 | Focal: 0.0043
Epoch 001 | LR: 1.00e-04 | Loss: 1.0653 | Dice: 0.8399 | CE: 0.2242 | Focal: 0.0023
Epoch 002 | LR: 1.00e-04 | Loss: 0.9248 | Dice: 0.7669 | CE: 0.1568 | Focal: 0.0022
Epoch 003 | LR: 9.99e-05 | Loss: 0.8399 | Dice: 0.7068 | CE: 0.1320 | Focal: 0.0021
Epoch 004 | LR: 9.98e-05 | Loss: 0.7893 | Dice: 0.6647 | CE: 0.1235 | Focal: 0.0021
Epoch 005 | LR: 9.97e-05 | Loss: 0.7578 | Dice: 0.6407 | CE: 0.1161 | Focal: 0.0020
Epoch 006 | LR: 9.96e-05 | Loss: 0.7284 | Dice: 0.6164 | CE: 0.1110 | Focal: 0.0020
Epoch 007 | LR: 9.95e-05 | Loss: 0.7063 | Dice: 0.5976 | CE: 0.1077 | Focal: 0.0020
Epoch 008 | LR: 9.93e-05 | Loss: 0.6951 | Dice: 0.5882 | CE: 0.1059 | Focal: 0.0019
Epoch 009 | LR: 9.91e-05 | Loss: 0.6848 | Dice: 0.5807 | CE: 0.1031 | Focal: 0.0019
Epoch 010 | LR: 9.89e-05 | Loss: 0.6631 | Dice: 0.5667 | CE: 0.0955 | Focal: 0.0018
Epoch 011 | LR: 9.87e-05 | Loss: 0.6543 | Dice: 0.5584 | CE: 0.0950 | Focal: 0.0017
Epoch 012 | LR: 9.84e-05 | Loss: 0.6554 | Dice: 0.5595 | CE: 0.0950 | Focal: 0.0018
Epoch 013 | LR: 9.82e-05 | Loss: 0.6475 | Dice: 0.5540 | CE: 0.0926 | Focal: 0.0017
Epoch 014 | LR: 9.79e-05 | Loss: 0.6356 | Dice: 0.5466 | CE: 0.0882 | Focal: 0.0017
Epoch 015 | LR: 9.76e-05 | Loss: 0.6381 | Dice: 0.5457 | CE: 0.0915 | Focal: 0.0017
Epoch 016 | LR: 9.72e-05 | Loss: 0.6260 | Dice: 0.5386 | CE: 0.0866 | Focal: 0.0016
Epoch 017 | LR: 9.69e-05 | Loss: 0.6286 | Dice: 0.5393 | CE: 0.0884 | Focal: 0.0017
Epoch 018 | LR: 9.65e-05 | Loss: 0.6276 | Dice: 0.5397 | CE: 0.0871 | Focal: 0.0016
Epoch 019 | LR: 9.61e-05 | Loss: 0.6129 | Dice: 0.5292 | CE: 0.0829 | Focal: 0.0016
Epoch 020 | LR: 9.57e-05 | Loss: 0.6199 | Dice: 0.5356 | CE: 0.0835 | Focal: 0.0016
Epoch 021 | LR: 9.53e-05 | Loss: 0.6087 | Dice: 0.5294 | CE: 0.0786 | Focal: 0.0015
Epoch 022 | LR: 9.48e-05 | Loss: 0.6068 | Dice: 0.5277 | CE: 0.0784 | Focal: 0.0015
Epoch 023 | LR: 9.44e-05 | Loss: 0.5898 | Dice: 0.5134 | CE: 0.0756 | Focal: 0.0014
Epoch 024 | LR: 9.39e-05 | Loss: 0.6006 | Dice: 0.5187 | CE: 0.0811 | Focal: 0.0015
Epoch 025 | LR: 9.34e-05 | Loss: 0.5980 | Dice: 0.5212 | CE: 0.0761 | Focal: 0.0014
Epoch 026 | LR: 9.28e-05 | Loss: 0.5888 | Dice: 0.5126 | CE: 0.0754 | Focal: 0.0014
Epoch 027 | LR: 9.23e-05 | Loss: 0.5866 | Dice: 0.5121 | CE: 0.0738 | Focal: 0.0014
Epoch 028 | LR: 9.17e-05 | Loss: 0.5801 | Dice: 0.5070 | CE: 0.0724 | Focal: 0.0014
Epoch 029 | LR: 9.11e-05 | Loss: 0.5821 | Dice: 0.5067 | CE: 0.0748 | Focal: 0.0014
Epoch 030 | LR: 9.05e-05 | Loss: 0.5714 | Dice: 0.5025 | CE: 0.0683 | Focal: 0.0013
Epoch 031 | LR: 8.99e-05 | Loss: 0.5744 | Dice: 0.5038 | CE: 0.0699 | Focal: 0.0013
Epoch 032 | LR: 8.93e-05 | Loss: 0.5663 | Dice: 0.4976 | CE: 0.0680 | Focal: 0.0013
Epoch 033 | LR: 8.86e-05 | Loss: 0.5662 | Dice: 0.4970 | CE: 0.0686 | Focal: 0.0013
Epoch 034 | LR: 8.80e-05 | Loss: 0.5638 | Dice: 0.4969 | CE: 0.0663 | Focal: 0.0013
Epoch 035 | LR: 8.73e-05 | Loss: 0.5639 | Dice: 0.4979 | CE: 0.0654 | Focal: 0.0012
Epoch 036 | LR: 8.66e-05 | Loss: 0.5601 | Dice: 0.4968 | CE: 0.0627 | Focal: 0.0012
Epoch 037 | LR: 8.59e-05 | Loss: 0.5588 | Dice: 0.4931 | CE: 0.0651 | Focal: 0.0012
Epoch 038 | LR: 8.51e-05 | Loss: 0.5517 | Dice: 0.4853 | CE: 0.0658 | Focal: 0.0013
Epoch 039 | LR: 8.44e-05 | Loss: 0.5515 | Dice: 0.4888 | CE: 0.0620 | Focal: 0.0012
Epoch 040 | LR: 8.36e-05 | Loss: 0.5406 | Dice: 0.4782 | CE: 0.0619 | Focal: 0.0012
Epoch 041 | LR: 8.28e-05 | Loss: 0.5432 | Dice: 0.4838 | CE: 0.0589 | Focal: 0.0011
Epoch 042 | LR: 8.21e-05 | Loss: 0.5373 | Dice: 0.4772 | CE: 0.0595 | Focal: 0.0011
Epoch 043 | LR: 8.12e-05 | Loss: 0.5450 | Dice: 0.4852 | CE: 0.0593 | Focal: 0.0011
Epoch 044 | LR: 8.04e-05 | Loss: 0.5400 | Dice: 0.4792 | CE: 0.0602 | Focal: 0.0011
Epoch 045 | LR: 7.96e-05 | Loss: 0.5337 | Dice: 0.4741 | CE: 0.0590 | Focal: 0.0011
Epoch 046 | LR: 7.88e-05 | Loss: 0.5348 | Dice: 0.4784 | CE: 0.0559 | Focal: 0.0010
Epoch 047 | LR: 7.79e-05 | Loss: 0.5320 | Dice: 0.4747 | CE: 0.0568 | Focal: 0.0010
Epoch 048 | LR: 7.70e-05 | Loss: 0.5338 | Dice: 0.4758 | CE: 0.0574 | Focal: 0.0011
Epoch 049 | LR: 7.61e-05 | Loss: 0.5300 | Dice: 0.4728 | CE: 0.0566 | Focal: 0.0011
Epoch 050 | LR: 7.53e-05 | Loss: 0.5253 | Dice: 0.4706 | CE: 0.0541 | Focal: 0.0010
Epoch 051 | LR: 7.43e-05 | Loss: 0.5228 | Dice: 0.4676 | CE: 0.0546 | Focal: 0.0010
Epoch 052 | LR: 7.34e-05 | Loss: 0.5199 | Dice: 0.4655 | CE: 0.0540 | Focal: 0.0010
Epoch 053 | LR: 7.25e-05 | Loss: 0.5147 | Dice: 0.4607 | CE: 0.0535 | Focal: 0.0010
Epoch 054 | LR: 7.16e-05 | Loss: 0.5165 | Dice: 0.4626 | CE: 0.0534 | Focal: 0.0010
Epoch 055 | LR: 7.06e-05 | Loss: 0.5156 | Dice: 0.4628 | CE: 0.0523 | Focal: 0.0010
Epoch 056 | LR: 6.97e-05 | Loss: 0.5113 | Dice: 0.4596 | CE: 0.0511 | Focal: 0.0009
Epoch 057 | LR: 6.87e-05 | Loss: 0.5228 | Dice: 0.4698 | CE: 0.0526 | Focal: 0.0010
Epoch 058 | LR: 6.78e-05 | Loss: 0.5131 | Dice: 0.4610 | CE: 0.0517 | Focal: 0.0010
Epoch 059 | LR: 6.68e-05 | Loss: 0.5122 | Dice: 0.4607 | CE: 0.0510 | Focal: 0.0009
Epoch 060 | LR: 6.58e-05 | Loss: 0.5222 | Dice: 0.4717 | CE: 0.0501 | Focal: 0.0009
Epoch 061 | LR: 6.48e-05 | Loss: 0.5111 | Dice: 0.4589 | CE: 0.0518 | Focal: 0.0010
Epoch 062 | LR: 6.38e-05 | Loss: 0.5029 | Dice: 0.4543 | CE: 0.0482 | Focal: 0.0009
Epoch 063 | LR: 6.28e-05 | Loss: 0.5101 | Dice: 0.4618 | CE: 0.0479 | Focal: 0.0009
Epoch 064 | LR: 6.18e-05 | Loss: 0.5041 | Dice: 0.4557 | CE: 0.0479 | Focal: 0.0009
Epoch 065 | LR: 6.08e-05 | Loss: 0.4977 | Dice: 0.4494 | CE: 0.0479 | Focal: 0.0009
Epoch 066 | LR: 5.98e-05 | Loss: 0.5002 | Dice: 0.4525 | CE: 0.0473 | Focal: 0.0009
Epoch 067 | LR: 5.88e-05 | Loss: 0.5093 | Dice: 0.4604 | CE: 0.0485 | Focal: 0.0009
Epoch 068 | LR: 5.77e-05 | Loss: 0.4978 | Dice: 0.4516 | CE: 0.0458 | Focal: 0.0008
Epoch 069 | LR: 5.67e-05 | Loss: 0.5035 | Dice: 0.4572 | CE: 0.0459 | Focal: 0.0008
Epoch 070 | LR: 5.57e-05 | Loss: 0.5036 | Dice: 0.4558 | CE: 0.0474 | Focal: 0.0009
Epoch 071 | LR: 5.46e-05 | Loss: 0.5039 | Dice: 0.4560 | CE: 0.0475 | Focal: 0.0009
Epoch 072 | LR: 5.36e-05 | Loss: 0.4924 | Dice: 0.4463 | CE: 0.0457 | Focal: 0.0008
Epoch 073 | LR: 5.26e-05 | Loss: 0.4944 | Dice: 0.4482 | CE: 0.0458 | Focal: 0.0008
Epoch 074 | LR: 5.15e-05 | Loss: 0.4997 | Dice: 0.4545 | CE: 0.0448 | Focal: 0.0008
Epoch 075 | LR: 5.05e-05 | Loss: 0.4900 | Dice: 0.4447 | CE: 0.0449 | Focal: 0.0008
Epoch 076 | LR: 4.95e-05 | Loss: 0.4911 | Dice: 0.4448 | CE: 0.0458 | Focal: 0.0008
Epoch 077 | LR: 4.84e-05 | Loss: 0.4901 | Dice: 0.4435 | CE: 0.0462 | Focal: 0.0008
Epoch 078 | LR: 4.74e-05 | Loss: 0.4920 | Dice: 0.4464 | CE: 0.0452 | Focal: 0.0008
Epoch 079 | LR: 4.64e-05 | Loss: 0.4878 | Dice: 0.4441 | CE: 0.0433 | Focal: 0.0008
Epoch 080 | LR: 4.53e-05 | Loss: 0.4857 | Dice: 0.4417 | CE: 0.0437 | Focal: 0.0008
Epoch 081 | LR: 4.43e-05 | Loss: 0.4881 | Dice: 0.4436 | CE: 0.0440 | Focal: 0.0008
