Starting Experiment
Experiment Path: experiments\exp_008_unetpp_v1
Epoch 000 | LR: 1.00e-04 | Loss: 1.4541 | Dice: 0.9235 | CE: 0.5283 | Focal: 0.0045
Epoch 001 | LR: 1.00e-04 | Loss: 1.0671 | Dice: 0.8413 | CE: 0.2246 | Focal: 0.0024
Epoch 002 | LR: 1.00e-04 | Loss: 0.9260 | Dice: 0.7620 | CE: 0.1629 | Focal: 0.0023
Epoch 003 | LR: 9.99e-05 | Loss: 0.8481 | Dice: 0.7048 | CE: 0.1422 | Focal: 0.0023
Epoch 004 | LR: 9.99e-05 | Loss: 0.7881 | Dice: 0.6624 | CE: 0.1246 | Focal: 0.0021
Epoch 005 | LR: 9.98e-05 | Loss: 0.7485 | Dice: 0.6346 | CE: 0.1129 | Focal: 0.0020
Epoch 006 | LR: 9.98e-05 | Loss: 0.7219 | Dice: 0.6124 | CE: 0.1086 | Focal: 0.0019
Epoch 007 | LR: 9.97e-05 | Loss: 0.7003 | Dice: 0.5947 | CE: 0.1047 | Focal: 0.0019
Epoch 008 | LR: 9.96e-05 | Loss: 0.6872 | Dice: 0.5825 | CE: 0.1038 | Focal: 0.0019
Epoch 009 | LR: 9.95e-05 | Loss: 0.6723 | Dice: 0.5711 | CE: 0.1003 | Focal: 0.0019
Epoch 010 | LR: 9.94e-05 | Loss: 0.6624 | Dice: 0.5669 | CE: 0.0946 | Focal: 0.0018
Epoch 011 | LR: 9.93e-05 | Loss: 0.6574 | Dice: 0.5613 | CE: 0.0952 | Focal: 0.0018
Epoch 012 | LR: 9.91e-05 | Loss: 0.6406 | Dice: 0.5468 | CE: 0.0930 | Focal: 0.0018
Epoch 013 | LR: 9.90e-05 | Loss: 0.6368 | Dice: 0.5465 | CE: 0.0895 | Focal: 0.0016
Epoch 014 | LR: 9.88e-05 | Loss: 0.6370 | Dice: 0.5499 | CE: 0.0864 | Focal: 0.0016
Epoch 015 | LR: 9.86e-05 | Loss: 0.6236 | Dice: 0.5374 | CE: 0.0853 | Focal: 0.0016
Epoch 016 | LR: 9.84e-05 | Loss: 0.6219 | Dice: 0.5333 | CE: 0.0878 | Focal: 0.0017
Epoch 017 | LR: 9.82e-05 | Loss: 0.6119 | Dice: 0.5309 | CE: 0.0803 | Focal: 0.0015
Epoch 018 | LR: 9.80e-05 | Loss: 0.6216 | Dice: 0.5386 | CE: 0.0822 | Focal: 0.0015
Epoch 019 | LR: 9.78e-05 | Loss: 0.6042 | Dice: 0.5230 | CE: 0.0804 | Focal: 0.0015
Epoch 020 | LR: 9.76e-05 | Loss: 0.5918 | Dice: 0.5111 | CE: 0.0800 | Focal: 0.0015
Epoch 021 | LR: 9.73e-05 | Loss: 0.5988 | Dice: 0.5202 | CE: 0.0779 | Focal: 0.0015
Epoch 022 | LR: 9.71e-05 | Loss: 0.5911 | Dice: 0.5146 | CE: 0.0758 | Focal: 0.0014
Epoch 023 | LR: 9.68e-05 | Loss: 0.5945 | Dice: 0.5173 | CE: 0.0765 | Focal: 0.0014
Epoch 024 | LR: 9.65e-05 | Loss: 0.5884 | Dice: 0.5131 | CE: 0.0745 | Focal: 0.0014
Epoch 025 | LR: 9.62e-05 | Loss: 0.5831 | Dice: 0.5119 | CE: 0.0705 | Focal: 0.0013
Epoch 026 | LR: 9.59e-05 | Loss: 0.5795 | Dice: 0.5046 | CE: 0.0742 | Focal: 0.0014
Epoch 027 | LR: 9.56e-05 | Loss: 0.5762 | Dice: 0.5044 | CE: 0.0712 | Focal: 0.0013
Epoch 028 | LR: 9.53e-05 | Loss: 0.5794 | Dice: 0.5075 | CE: 0.0713 | Focal: 0.0013
Epoch 029 | LR: 9.50e-05 | Loss: 0.5640 | Dice: 0.4953 | CE: 0.0681 | Focal: 0.0013
Epoch 030 | LR: 9.46e-05 | Loss: 0.5682 | Dice: 0.4990 | CE: 0.0686 | Focal: 0.0013
Epoch 031 | LR: 9.42e-05 | Loss: 0.5744 | Dice: 0.5051 | CE: 0.0687 | Focal: 0.0013
Epoch 032 | LR: 9.39e-05 | Loss: 0.5657 | Dice: 0.4993 | CE: 0.0658 | Focal: 0.0012
Epoch 033 | LR: 9.35e-05 | Loss: 0.5647 | Dice: 0.4966 | CE: 0.0674 | Focal: 0.0013
Epoch 034 | LR: 9.31e-05 | Loss: 0.5607 | Dice: 0.4953 | CE: 0.0648 | Focal: 0.0012
Epoch 035 | LR: 9.27e-05 | Loss: 0.5518 | Dice: 0.4886 | CE: 0.0626 | Focal: 0.0012
Epoch 036 | LR: 9.23e-05 | Loss: 0.5599 | Dice: 0.4956 | CE: 0.0637 | Focal: 0.0012
Epoch 037 | LR: 9.19e-05 | Loss: 0.5510 | Dice: 0.4888 | CE: 0.0616 | Focal: 0.0011
Epoch 038 | LR: 9.14e-05 | Loss: 0.5481 | Dice: 0.4856 | CE: 0.0619 | Focal: 0.0012
Epoch 039 | LR: 9.10e-05 | Loss: 0.5466 | Dice: 0.4819 | CE: 0.0641 | Focal: 0.0012
Epoch 040 | LR: 9.05e-05 | Loss: 0.5420 | Dice: 0.4795 | CE: 0.0619 | Focal: 0.0012
Epoch 041 | LR: 9.01e-05 | Loss: 0.5408 | Dice: 0.4788 | CE: 0.0614 | Focal: 0.0011
Epoch 042 | LR: 8.96e-05 | Loss: 0.5405 | Dice: 0.4815 | CE: 0.0584 | Focal: 0.0011
Epoch 043 | LR: 8.91e-05 | Loss: 0.5422 | Dice: 0.4817 | CE: 0.0600 | Focal: 0.0011
Epoch 044 | LR: 8.86e-05 | Loss: 0.5373 | Dice: 0.4774 | CE: 0.0593 | Focal: 0.0011
Epoch 045 | LR: 8.81e-05 | Loss: 0.5353 | Dice: 0.4761 | CE: 0.0587 | Focal: 0.0011
Epoch 046 | LR: 8.76e-05 | Loss: 0.5308 | Dice: 0.4724 | CE: 0.0579 | Focal: 0.0011
Epoch 047 | LR: 8.71e-05 | Loss: 0.5325 | Dice: 0.4740 | CE: 0.0580 | Focal: 0.0011
Epoch 048 | LR: 8.66e-05 | Loss: 0.5289 | Dice: 0.4730 | CE: 0.0553 | Focal: 0.0010
Epoch 049 | LR: 8.60e-05 | Loss: 0.5285 | Dice: 0.4724 | CE: 0.0556 | Focal: 0.0010
Epoch 050 | LR: 8.55e-05 | Loss: 0.5317 | Dice: 0.4724 | CE: 0.0588 | Focal: 0.0011
