Starting Experiment
Experiment Path: experiments\exp_010_resunet
Epoch 000/150 | LR: 1.00e-06 | Loss: 2.3304 | Dice: 0.9727 | CE: 1.3487 | Focal: 0.0180 | PerClass [C0:0.235 | C1:0.002 | C2:0.045 | C3:0.095]
Epoch 001/150 | LR: 2.08e-05 | Loss: 1.5212 | Dice: 0.9303 | CE: 0.5886 | Focal: 0.0047 | PerClass [C0:0.967 | C1:0.022 | C2:0.489 | C3:0.445]
Epoch 002/150 | LR: 4.06e-05 | Loss: 1.1476 | Dice: 0.8717 | CE: 0.2747 | Focal: 0.0023 | PerClass [C0:0.993 | C1:0.466 | C2:0.669 | C3:0.573]
Epoch 003/150 | LR: 6.04e-05 | Loss: 0.9269 | Dice: 0.7642 | CE: 0.1614 | Focal: 0.0024 | PerClass [C0:0.995 | C1:0.535 | C2:0.724 | C3:0.642]
Epoch 004/150 | LR: 8.02e-05 | Loss: 0.8112 | Dice: 0.6722 | CE: 0.1377 | Focal: 0.0026 | PerClass [C0:0.996 | C1:0.566 | C2:0.746 | C3:0.677]
Epoch 005/150 | LR: 1.00e-04 | Loss: 0.7497 | Dice: 0.6176 | CE: 0.1308 | Focal: 0.0026 | PerClass [C0:0.996 | C1:0.551 | C2:0.768 | C3:0.696]
Epoch 006/150 | LR: 1.00e-04 | Loss: 0.6980 | Dice: 0.5762 | CE: 0.1205 | Focal: 0.0025 | PerClass [C0:0.996 | C1:0.598 | C2:0.785 | C3:0.726]
Epoch 007/150 | LR: 1.00e-04 | Loss: 0.6765 | Dice: 0.5608 | CE: 0.1145 | Focal: 0.0024 | PerClass [C0:0.996 | C1:0.618 | C2:0.796 | C3:0.730]
Epoch 008/150 | LR: 9.99e-05 | Loss: 0.6478 | Dice: 0.5424 | CE: 0.1043 | Focal: 0.0022 | PerClass [C0:0.997 | C1:0.677 | C2:0.801 | C3:0.751]
Epoch 009/150 | LR: 9.98e-05 | Loss: 0.6276 | Dice: 0.5267 | CE: 0.0999 | Focal: 0.0021 | PerClass [C0:0.997 | C1:0.692 | C2:0.804 | C3:0.773]
Epoch 010/150 | LR: 9.97e-05 | Loss: 0.6207 | Dice: 0.5196 | CE: 0.1000 | Focal: 0.0021 | PerClass [C0:0.997 | C1:0.682 | C2:0.822 | C3:0.792]
Epoch 011/150 | LR: 9.96e-05 | Loss: 0.6116 | Dice: 0.5181 | CE: 0.0925 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.707 | C2:0.820 | C3:0.779]
Epoch 012/150 | LR: 9.94e-05 | Loss: 0.6033 | Dice: 0.5110 | CE: 0.0914 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.722 | C2:0.818 | C3:0.802]
Epoch 013/150 | LR: 9.93e-05 | Loss: 0.5943 | Dice: 0.5057 | CE: 0.0876 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.722 | C2:0.821 | C3:0.797]
Epoch 014/150 | LR: 9.91e-05 | Loss: 0.5791 | Dice: 0.4975 | CE: 0.0807 | Focal: 0.0017 | PerClass [C0:0.997 | C1:0.717 | C2:0.835 | C3:0.812]
Epoch 015/150 | LR: 9.88e-05 | Loss: 0.5825 | Dice: 0.5011 | CE: 0.0805 | Focal: 0.0017 | PerClass [C0:0.997 | C1:0.731 | C2:0.827 | C3:0.804]
Epoch 016/150 | LR: 9.86e-05 | Loss: 0.5647 | Dice: 0.4853 | CE: 0.0786 | Focal: 0.0016 | PerClass [C0:0.997 | C1:0.740 | C2:0.841 | C3:0.828]
Epoch 017/150 | LR: 9.83e-05 | Loss: 0.5701 | Dice: 0.4962 | CE: 0.0731 | Focal: 0.0015 | PerClass [C0:0.997 | C1:0.766 | C2:0.827 | C3:0.820]
Epoch 018/150 | LR: 9.80e-05 | Loss: 0.5557 | Dice: 0.4805 | CE: 0.0744 | Focal: 0.0015 | PerClass [C0:0.997 | C1:0.751 | C2:0.840 | C3:0.824]
Epoch 019/150 | LR: 9.77e-05 | Loss: 0.5586 | Dice: 0.4865 | CE: 0.0714 | Focal: 0.0015 | PerClass [C0:0.997 | C1:0.754 | C2:0.838 | C3:0.832]
Epoch 020/150 | LR: 9.74e-05 | Loss: 0.5577 | Dice: 0.4857 | CE: 0.0713 | Focal: 0.0015 | PerClass [C0:0.997 | C1:0.758 | C2:0.846 | C3:0.831]
Epoch 021/150 | LR: 9.71e-05 | Loss: 0.5491 | Dice: 0.4845 | CE: 0.0639 | Focal: 0.0013 | PerClass [C0:0.997 | C1:0.773 | C2:0.836 | C3:0.832]
Epoch 022/150 | LR: 9.67e-05 | Loss: 0.5429 | Dice: 0.4769 | CE: 0.0653 | Focal: 0.0013 | PerClass [C0:0.998 | C1:0.777 | C2:0.847 | C3:0.832]
Epoch 023/150 | LR: 9.63e-05 | Loss: 0.5368 | Dice: 0.4732 | CE: 0.0630 | Focal: 0.0013 | PerClass [C0:0.997 | C1:0.783 | C2:0.845 | C3:0.838]
Epoch 024/150 | LR: 9.59e-05 | Loss: 0.5297 | Dice: 0.4700 | CE: 0.0592 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.778 | C2:0.850 | C3:0.843]
Epoch 025/150 | LR: 9.54e-05 | Loss: 0.5340 | Dice: 0.4733 | CE: 0.0601 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.780 | C2:0.844 | C3:0.846]
Epoch 026/150 | LR: 9.50e-05 | Loss: 0.5161 | Dice: 0.4588 | CE: 0.0567 | Focal: 0.0011 | PerClass [C0:0.998 | C1:0.802 | C2:0.857 | C3:0.838]
Epoch 027/150 | LR: 9.45e-05 | Loss: 0.5223 | Dice: 0.4638 | CE: 0.0579 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.798 | C2:0.849 | C3:0.844]
Epoch 028/150 | LR: 9.40e-05 | Loss: 0.5279 | Dice: 0.4701 | CE: 0.0572 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.789 | C2:0.846 | C3:0.834]
Epoch 029/150 | LR: 9.35e-05 | Loss: 0.5254 | Dice: 0.4698 | CE: 0.0551 | Focal: 0.0011 | PerClass [C0:0.998 | C1:0.805 | C2:0.859 | C3:0.849]
Epoch 030/150 | LR: 9.29e-05 | Loss: 0.5139 | Dice: 0.4600 | CE: 0.0533 | Focal: 0.0011 | PerClass [C0:0.998 | C1:0.801 | C2:0.859 | C3:0.856]
Epoch 031/150 | LR: 9.24e-05 | Loss: 0.5097 | Dice: 0.4576 | CE: 0.0516 | Focal: 0.0010 | PerClass [C0:0.998 | C1:0.786 | C2:0.862 | C3:0.862]
Epoch 032/150 | LR: 9.18e-05 | Loss: 0.5094 | Dice: 0.4561 | CE: 0.0528 | Focal: 0.0010 | PerClass [C0:0.998 | C1:0.793 | C2:0.856 | C3:0.865]
Epoch 033/150 | LR: 9.12e-05 | Loss: 0.4688 | Dice: 0.4110 | CE: 0.0572 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.813 | C2:0.867 | C3:0.860]
Epoch 034/150 | LR: 9.05e-05 | Loss: 0.2777 | Dice: 0.2128 | CE: 0.0643 | Focal: 0.0013 | PerClass [C0:0.998 | C1:0.841 | C2:0.854 | C3:0.848]
Epoch 035/150 | LR: 8.99e-05 | Loss: 0.2649 | Dice: 0.1941 | CE: 0.0701 | Focal: 0.0015 | PerClass [C0:0.998 | C1:0.846 | C2:0.863 | C3:0.855]
Epoch 036/150 | LR: 8.92e-05 | Loss: 0.2445 | Dice: 0.1867 | CE: 0.0572 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.855 | C2:0.855 | C3:0.854]
Epoch 037/150 | LR: 8.86e-05 | Loss: 0.2412 | Dice: 0.1820 | CE: 0.0586 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.862 | C2:0.859 | C3:0.859]
Epoch 038/150 | LR: 8.79e-05 | Loss: 0.2366 | Dice: 0.1799 | CE: 0.0562 | Focal: 0.0012 | PerClass [C0:0.998 | C1:0.866 | C2:0.866 | C3:0.861]
Epoch 039/150 | LR: 8.72e-05 | Loss: 0.2262 | Dice: 0.1738 | CE: 0.0519 | Focal: 0.0010 | PerClass [C0:0.998 | C1:0.867 | C2:0.862 | C3:0.867]
Epoch 040/150 | LR: 8.64e-05 | Loss: 0.2272 | Dice: 0.1725 | CE: 0.0541 | Focal: 0.0011 | PerClass [C0:0.998 | C1:0.872 | C2:0.865 | C3:0.862]
Epoch 041/150 | LR: 8.57e-05 | Loss: 0.2220 | Dice: 0.1712 | CE: 0.0503 | Focal: 0.0010 | PerClass [C0:0.998 | C1:0.874 | C2:0.863 | C3:0.849]
Epoch 042/150 | LR: 8.49e-05 | Loss: 0.2166 | Dice: 0.1679 | CE: 0.0482 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.872 | C2:0.869 | C3:0.863]
Epoch 043/150 | LR: 8.41e-05 | Loss: 0.2129 | Dice: 0.1652 | CE: 0.0473 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.882 | C2:0.865 | C3:0.864]
Epoch 044/150 | LR: 8.34e-05 | Loss: 0.2078 | Dice: 0.1597 | CE: 0.0477 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.878 | C2:0.876 | C3:0.876]
Epoch 045/150 | LR: 8.25e-05 | Loss: 0.2083 | Dice: 0.1613 | CE: 0.0465 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.889 | C2:0.871 | C3:0.866]
Epoch 046/150 | LR: 8.17e-05 | Loss: 0.2035 | Dice: 0.1562 | CE: 0.0469 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.888 | C2:0.871 | C3:0.873]
Epoch 047/150 | LR: 8.09e-05 | Loss: 0.2020 | Dice: 0.1549 | CE: 0.0466 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.892 | C2:0.870 | C3:0.876]
Epoch 048/150 | LR: 8.00e-05 | Loss: 0.2020 | Dice: 0.1541 | CE: 0.0474 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.884 | C2:0.876 | C3:0.884]
Epoch 049/150 | LR: 7.92e-05 | Loss: 0.2071 | Dice: 0.1601 | CE: 0.0465 | Focal: 0.0009 | PerClass [C0:0.998 | C1:0.884 | C2:0.867 | C3:0.873]
Epoch 050/150 | LR: 7.83e-05 | Loss: 0.1990 | Dice: 0.1559 | CE: 0.0428 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.884 | C2:0.872 | C3:0.885]
Epoch 051/150 | LR: 7.74e-05 | Loss: 0.2003 | Dice: 0.1570 | CE: 0.0428 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.890 | C2:0.876 | C3:0.884]
Epoch 052/150 | LR: 7.65e-05 | Loss: 0.1945 | Dice: 0.1521 | CE: 0.0419 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.894 | C2:0.874 | C3:0.875]
Epoch 053/150 | LR: 7.56e-05 | Loss: 0.1941 | Dice: 0.1526 | CE: 0.0411 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.891 | C2:0.883 | C3:0.887]
Epoch 054/150 | LR: 7.46e-05 | Loss: 0.1921 | Dice: 0.1493 | CE: 0.0424 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.893 | C2:0.880 | C3:0.890]
Epoch 055/150 | LR: 7.37e-05 | Loss: 0.1851 | Dice: 0.1444 | CE: 0.0403 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.901 | C2:0.877 | C3:0.877]
Epoch 056/150 | LR: 7.27e-05 | Loss: 0.1850 | Dice: 0.1446 | CE: 0.0400 | Focal: 0.0008 | PerClass [C0:0.998 | C1:0.900 | C2:0.879 | C3:0.880]
Epoch 057/150 | LR: 7.18e-05 | Loss: 0.1781 | Dice: 0.1384 | CE: 0.0394 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.901 | C2:0.880 | C3:0.892]
Epoch 058/150 | LR: 7.08e-05 | Loss: 0.1778 | Dice: 0.1392 | CE: 0.0383 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.903 | C2:0.879 | C3:0.883]
Epoch 059/150 | LR: 6.98e-05 | Loss: 0.1747 | Dice: 0.1372 | CE: 0.0371 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.904 | C2:0.886 | C3:0.889]
Epoch 060/150 | LR: 6.88e-05 | Loss: 0.1778 | Dice: 0.1401 | CE: 0.0373 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.902 | C2:0.878 | C3:0.895]
Epoch 061/150 | LR: 6.78e-05 | Loss: 0.1811 | Dice: 0.1423 | CE: 0.0384 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.903 | C2:0.883 | C3:0.887]
Epoch 062/150 | LR: 6.68e-05 | Loss: 0.1762 | Dice: 0.1391 | CE: 0.0367 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.911 | C2:0.881 | C3:0.890]
Epoch 063/150 | LR: 6.58e-05 | Loss: 0.1723 | Dice: 0.1364 | CE: 0.0356 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.909 | C2:0.883 | C3:0.894]
Epoch 064/150 | LR: 6.48e-05 | Loss: 0.1696 | Dice: 0.1328 | CE: 0.0364 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.913 | C2:0.886 | C3:0.886]
Epoch 065/150 | LR: 6.37e-05 | Loss: 0.1747 | Dice: 0.1383 | CE: 0.0361 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.913 | C2:0.880 | C3:0.897]
Epoch 066/150 | LR: 6.27e-05 | Loss: 0.1649 | Dice: 0.1294 | CE: 0.0352 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.914 | C2:0.888 | C3:0.880]
Epoch 067/150 | LR: 6.17e-05 | Loss: 0.1640 | Dice: 0.1286 | CE: 0.0351 | Focal: 0.0007 | PerClass [C0:0.998 | C1:0.914 | C2:0.886 | C3:0.894]
Epoch 068/150 | LR: 6.06e-05 | Loss: 0.1612 | Dice: 0.1269 | CE: 0.0341 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.921 | C2:0.890 | C3:0.897]
Epoch 069/150 | LR: 5.96e-05 | Loss: 0.1628 | Dice: 0.1291 | CE: 0.0334 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.918 | C2:0.889 | C3:0.896]
Epoch 070/150 | LR: 5.85e-05 | Loss: 0.1588 | Dice: 0.1250 | CE: 0.0335 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.916 | C2:0.890 | C3:0.890]
Epoch 071/150 | LR: 5.74e-05 | Loss: 0.1624 | Dice: 0.1284 | CE: 0.0337 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.912 | C2:0.893 | C3:0.894]
Epoch 072/150 | LR: 5.64e-05 | Loss: 0.1613 | Dice: 0.1274 | CE: 0.0336 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.915 | C2:0.890 | C3:0.890]
Epoch 073/150 | LR: 5.53e-05 | Loss: 0.1549 | Dice: 0.1223 | CE: 0.0323 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.921 | C2:0.896 | C3:0.901]
Epoch 074/150 | LR: 5.43e-05 | Loss: 0.1561 | Dice: 0.1235 | CE: 0.0323 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.918 | C2:0.894 | C3:0.903]
Epoch 075/150 | LR: 5.32e-05 | Loss: 0.1580 | Dice: 0.1257 | CE: 0.0320 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.920 | C2:0.886 | C3:0.900]
Epoch 076/150 | LR: 5.21e-05 | Loss: 0.1559 | Dice: 0.1238 | CE: 0.0318 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.923 | C2:0.894 | C3:0.904]
Epoch 077/150 | LR: 5.10e-05 | Loss: 0.1527 | Dice: 0.1197 | CE: 0.0327 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.924 | C2:0.895 | C3:0.898]
Epoch 078/150 | LR: 5.00e-05 | Loss: 0.1565 | Dice: 0.1253 | CE: 0.0309 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.919 | C2:0.889 | C3:0.891]
Epoch 079/150 | LR: 4.89e-05 | Loss: 0.1544 | Dice: 0.1235 | CE: 0.0307 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.919 | C2:0.894 | C3:0.905]
Epoch 080/150 | LR: 4.78e-05 | Loss: 0.1502 | Dice: 0.1195 | CE: 0.0305 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.925 | C2:0.897 | C3:0.901]
Epoch 081/150 | LR: 4.67e-05 | Loss: 0.1512 | Dice: 0.1205 | CE: 0.0304 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.921 | C2:0.897 | C3:0.899]
Epoch 082/150 | LR: 4.57e-05 | Loss: 0.1444 | Dice: 0.1142 | CE: 0.0300 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.927 | C2:0.901 | C3:0.905]
Epoch 083/150 | LR: 4.46e-05 | Loss: 0.1456 | Dice: 0.1151 | CE: 0.0302 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.930 | C2:0.897 | C3:0.901]
Epoch 084/150 | LR: 4.36e-05 | Loss: 0.1471 | Dice: 0.1175 | CE: 0.0293 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.930 | C2:0.896 | C3:0.902]
Epoch 085/150 | LR: 4.25e-05 | Loss: 0.1441 | Dice: 0.1143 | CE: 0.0295 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.929 | C2:0.898 | C3:0.909]
Epoch 086/150 | LR: 4.14e-05 | Loss: 0.1517 | Dice: 0.1201 | CE: 0.0313 | Focal: 0.0006 | PerClass [C0:0.998 | C1:0.926 | C2:0.889 | C3:0.901]
Epoch 087/150 | LR: 4.04e-05 | Loss: 0.1409 | Dice: 0.1119 | CE: 0.0287 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.934 | C2:0.897 | C3:0.908]
Epoch 088/150 | LR: 3.93e-05 | Loss: 0.1425 | Dice: 0.1140 | CE: 0.0283 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.929 | C2:0.896 | C3:0.911]
Epoch 089/150 | LR: 3.83e-05 | Loss: 0.1465 | Dice: 0.1180 | CE: 0.0282 | Focal: 0.0005 | PerClass [C0:0.998 | C1:0.931 | C2:0.894 | C3:0.903]
