Starting Experiment
Experiment Path: experiments\exp_010_unetpp_ds
Epoch 000/200 | LR: 1.00e-06 | Loss: 3.7112 | Dice: 0.9674 | CE: 1.1466 | Focal: 0.0134 | PerClass [C0:0.724 | C1:0.000 | C2:0.140 | C3:0.088]
Epoch 001/200 | LR: 1.09e-05 | Loss: 3.1825 | Dice: 0.9528 | CE: 0.8616 | Focal: 0.0084 | PerClass [C0:0.947 | C1:0.023 | C2:0.389 | C3:0.251]
Epoch 002/200 | LR: 2.08e-05 | Loss: 2.8086 | Dice: 0.9414 | CE: 0.6608 | Focal: 0.0053 | PerClass [C0:0.984 | C1:0.345 | C2:0.553 | C3:0.444]
Epoch 003/200 | LR: 3.07e-05 | Loss: 2.4041 | Dice: 0.9238 | CE: 0.4485 | Focal: 0.0030 | PerClass [C0:0.991 | C1:0.507 | C2:0.633 | C3:0.523]
Epoch 004/200 | LR: 4.06e-05 | Loss: 2.0408 | Dice: 0.8864 | CE: 0.2787 | Focal: 0.0022 | PerClass [C0:0.993 | C1:0.533 | C2:0.686 | C3:0.578]
Epoch 005/200 | LR: 5.05e-05 | Loss: 1.7704 | Dice: 0.8219 | CE: 0.1887 | Focal: 0.0021 | PerClass [C0:0.994 | C1:0.556 | C2:0.730 | C3:0.619]
Epoch 006/200 | LR: 6.04e-05 | Loss: 1.5683 | Dice: 0.7456 | CE: 0.1494 | Focal: 0.0023 | PerClass [C0:0.995 | C1:0.556 | C2:0.743 | C3:0.649]
Epoch 007/200 | LR: 7.03e-05 | Loss: 1.4452 | Dice: 0.6829 | CE: 0.1417 | Focal: 0.0026 | PerClass [C0:0.996 | C1:0.566 | C2:0.755 | C3:0.678]
Epoch 008/200 | LR: 8.02e-05 | Loss: 1.3533 | Dice: 0.6351 | CE: 0.1369 | Focal: 0.0026 | PerClass [C0:0.996 | C1:0.568 | C2:0.768 | C3:0.697]
Epoch 009/200 | LR: 9.01e-05 | Loss: 1.3034 | Dice: 0.6097 | CE: 0.1337 | Focal: 0.0027 | PerClass [C0:0.996 | C1:0.583 | C2:0.779 | C3:0.715]
Epoch 010/200 | LR: 1.00e-04 | Loss: 1.2619 | Dice: 0.5853 | CE: 0.1344 | Focal: 0.0028 | PerClass [C0:0.996 | C1:0.610 | C2:0.778 | C3:0.731]
Epoch 011/200 | LR: 1.00e-04 | Loss: 1.2324 | Dice: 0.5754 | CE: 0.1275 | Focal: 0.0026 | PerClass [C0:0.997 | C1:0.641 | C2:0.785 | C3:0.732]
Epoch 012/200 | LR: 1.00e-04 | Loss: 1.2020 | Dice: 0.5632 | CE: 0.1224 | Focal: 0.0025 | PerClass [C0:0.997 | C1:0.661 | C2:0.799 | C3:0.744]
Epoch 013/200 | LR: 9.99e-05 | Loss: 1.1742 | Dice: 0.5536 | CE: 0.1161 | Focal: 0.0024 | PerClass [C0:0.997 | C1:0.681 | C2:0.805 | C3:0.759]
Epoch 014/200 | LR: 9.99e-05 | Loss: 1.1373 | Dice: 0.5414 | CE: 0.1074 | Focal: 0.0022 | PerClass [C0:0.997 | C1:0.687 | C2:0.816 | C3:0.765]
Epoch 015/200 | LR: 9.98e-05 | Loss: 1.1240 | Dice: 0.5348 | CE: 0.1064 | Focal: 0.0022 | PerClass [C0:0.997 | C1:0.707 | C2:0.821 | C3:0.777]
Epoch 016/200 | LR: 9.98e-05 | Loss: 1.1281 | Dice: 0.5375 | CE: 0.1061 | Focal: 0.0022 | PerClass [C0:0.997 | C1:0.705 | C2:0.815 | C3:0.784]
Epoch 017/200 | LR: 9.97e-05 | Loss: 1.1228 | Dice: 0.5385 | CE: 0.1020 | Focal: 0.0021 | PerClass [C0:0.997 | C1:0.731 | C2:0.816 | C3:0.792]
Epoch 018/200 | LR: 9.96e-05 | Loss: 1.0889 | Dice: 0.5177 | CE: 0.1035 | Focal: 0.0022 | PerClass [C0:0.997 | C1:0.730 | C2:0.830 | C3:0.800]
Epoch 019/200 | LR: 9.95e-05 | Loss: 1.0814 | Dice: 0.5167 | CE: 0.1002 | Focal: 0.0021 | PerClass [C0:0.997 | C1:0.716 | C2:0.832 | C3:0.798]
Epoch 020/200 | LR: 9.93e-05 | Loss: 1.0679 | Dice: 0.5167 | CE: 0.0926 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.720 | C2:0.828 | C3:0.807]
Epoch 021/200 | LR: 9.92e-05 | Loss: 1.0573 | Dice: 0.5091 | CE: 0.0940 | Focal: 0.0020 | PerClass [C0:0.997 | C1:0.734 | C2:0.833 | C3:0.810]
Epoch 022/200 | LR: 9.90e-05 | Loss: 1.0425 | Dice: 0.5048 | CE: 0.0900 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.748 | C2:0.846 | C3:0.819]
Epoch 023/200 | LR: 9.89e-05 | Loss: 1.0377 | Dice: 0.5014 | CE: 0.0906 | Focal: 0.0019 | PerClass [C0:0.997 | C1:0.750 | C2:0.834 | C3:0.818]
Epoch 024/200 | LR: 9.87e-05 | Loss: 1.0361 | Dice: 0.5045 | CE: 0.0866 | Focal: 0.0018 | PerClass [C0:0.997 | C1:0.758 | C2:0.836 | C3:0.826]
